- Text database for game settings window.

schema: *key,text
playerTorchFromItemsInfo,                           玩家火把光由遊戲內光源啟用
combatVoices,                                       戰鬥語音
combatVoicesInfo,                                   玩家與 NPC 攻擊或被擊中時會發聲
enemyInfighting,                                    敵人間互鬥
enemyInfightingInfo,                                AI 角色會與非同盟者戰鬥
enhancedCombatAI,                                   增強戰鬥 AI
enhancedCombatAIInfo,                               啟用原版匕首雨沒有的多項戰鬥 AI 增強
allowMagicRepairs,                                  允許魔法物品修理
allowMagicRepairsInfo,                              允許魔法物品像普通物品一樣修理

resolution,                                         解析度
resolutionInfo,                                     螢幕解析度
fullscreen,                                         全螢幕
fullscreenInfo,                                     啟用全螢幕
exclusiveFullscreen,                                獨占全螢幕
exclusiveFullscreenInfo,                            啟用獨占全螢幕
runInBackground,                                    背景執行
runInBackgroundInfo,                                遊戲失去焦點時是否繼續執行
qualityLevel,                                       品質等級
qualityLevelInfo,                                   整體畫面品質
mainFilterMode,                                     主濾鏡
mainFilterModeInfo,                                 遊戲貼圖濾鏡
guiFilterMode,                                      GUI 濾鏡
guiFilterModeInfo,                                  HUD 圖像濾鏡
videoFilterMode,                                    影片濾鏡
videoFilterModeInfo,                                動畫影片濾鏡
antiAliasingMethod,                                 反鋸齒方法
antiAliasingMethodInfo,                             選擇反鋸齒方法
ambientOcclusionIntensity,                          環境光遮蔽強度
ambientOcclusionIntensityInfo,                      設定 AO 後製效果強度
fovSlider,                                          視野
fovSliderInfo,                                      當下可見的世界範圍
terrainDistance,                                    地形距離
terrainDistanceInfo,                                作用中地形與玩家位置的最大距離
shadowResolutionMode,                               陰影解析度
shadowResolutionModeInfo,                           陰影品質
dungeonLightShadows,                                地城燈光陰影
dungeonLightShadowsInfo,                            地城燈光會投射陰影
interiorLightShadows,                               室內燈光陰影
interiorLightShadowsInfo,                           室內燈光會投射陰影
exteriorLightShadows,                               室外燈光陰影
exteriorLightShadowsInfo,                           室外陽光會投射陰影
ambientLitInteriors,                                簡化室內光照
ambientLitInteriorsInfo,                            使用較簡單的光照以提升室內效能

- Configure Joystick Controls UI

rightClickString,                                   右鍵點擊
middleClickString,                                  中鍵點擊
leftClickString,                                    左鍵點擊
backString,                                         返回
configureJoystickControls,                          設定搖桿操作
continue,                                           繼續
enableController,                                   啟用控制器
invert,                                             反轉
lookSensitivity,                                    視角靈敏度
uiMouseSensitivity,                                 UI 滑鼠靈敏度
maximumMovementThreshold,                           最大移動閾值
deadzone,                                           死區
movementH,                                          移動水平
movementV,                                          移動垂直
cameraH,                                            攝影機水平
cameraV,                                            攝影機垂直
primary,                                            主要
secondary,                                          次要


- Options shared among sliders. Missing keys use default text.

Off,                                                關
On,                                                 開
HQ,                                                 HQ

Low,                                                低
Medium,                                             中
High,                                               高
Very High,                                          非常高

Low (25%),                                          低 (25%)
Medium (50%),                                       中 (50%)
High (75%),                                         高 (75%)
V. High(100%),                                      非常高(100%)

Point,                                              點取樣
Bilinear,                                           雙線性
Trilinear,                                          三線性

none,                                               無
classic,                                            經典
climate,                                            氣候
climateOnly,                                        僅氣候
random,                                             隨機
randomOnly,                                         僅隨機
minimal,                                            最小
large,                                              大型
colour,                                             彩色
monochrome,                                         單色

reset,                                              重設
