Key,Value
76,見習者導師
60,學者派
61,貴族派
62,旅者聯盟
63,傭兵法師
64,隱居派
65,實用法師
66,秘術會
67,燈騎士團
801,奧迪利克法師
802,工匠
150,弗拉塞斯
151,哈爾維努
152,斯拉菲
153,萊雷齊
154,蒙塔利昂
155,庫拉里
156,加爾利西
157,安索提斯
158,塞勒努
41,戰士公會
849,戰士訓練師
850,戰士裝備師
851,戰士任務官
42,盜賊公會
77,公會首領
373,烏鴉
388,塞克
399,烏賊
375,伯特倫·斯波德領主
374,提爾·托普菲爾德
389,惠特卡
18,見習者導師
803,暗影訓練師
804,暗影策士
805,暗影鑑定師
806,暗影間諜
852,隨機統治者
242,隨機貴族
853,隨機騎士
200,德溫寧
516,德溫寧宮廷
517,德溫寧人民
414,渡鴉騎士團
844,通用騎士團
845,鐵匠
846,任務官
847,治療師
848,總管
201,匕首雨
364,戈斯瑞德國王
371,莫巴爾
372,皇家衛隊
365,奧布基女王
500,辛達莎
366,米尼塞拉
367,布里德韋爾領主
368,巨龍騎士團
377,布里德韋爾夫人
501,北橋夫人
595,匕首雨宮廷
518,匕首雨人民
203,貝托尼
519,貝托尼宮廷
520,貝托尼人民
202,格倫角
521,格倫角宮廷
522,格倫角人民
413,貓頭鷹騎士團
204,哨兵城
380,阿科里西女王
383,沃塞克領主
384,皇家衛隊
381,格雷克利斯王子
382,洛圖恩王子
386,卡瓦爾領主
408,燭火騎士團
387,普羅夫利斯領主
596,哨兵城宮廷
523,哨兵城人民
205,安蒂克萊爾
400,多莉安娜·弗萊特夫人
410,火焰騎士團
401,奧伯隆·弗萊特領主
403,法林頓
404,珀萊特領主
597,安蒂克萊爾宮廷
524,安蒂克萊爾人民
206,萊恩林
379,史萊克男爵
411,號角騎士團
405,德恩卡男爵夫人
406,凱恩領主
246,萊恩林宮廷
525,萊恩林人民
207,途歇城
390,伊德懷爾國王
391,巴蘭西亞女王
392,艾莉薩娜公主
393,赫爾塞斯王子
394,莫吉亞公主
395,卡斯特利安領主
397,達克沃斯領主
409,玫瑰騎士團
398,伍德伯恩領主
499,途歇城宮廷
526,途歇城人民
208,北沼
527,北沼宮廷
528,北沼人民
209,梅內維亞
529,梅內維亞宮廷
530,梅內維亞人民
210,阿爾凱爾
531,阿爾凱爾宮廷
532,阿爾凱爾人民
211,科格里亞
533,科格里亞宮廷
534,科格里亞人民
212,博里安
535,博里安宮廷
536,博里安人民
213,坎布里亞
537,坎布里亞宮廷
538,坎布里亞人民
214,弗里吉亞斯
539,弗里吉亞斯宮廷
540,弗里吉亞斯人民
215,烏爾維烏斯
541,烏爾維烏斯宮廷
542,烏爾維烏斯人民
216,伊卡隆
543,伊卡隆宮廷
544,伊卡隆人民
217,戴尼亞
545,戴尼亞宮廷
546,戴尼亞人民
218,沙爾戈拉
547,沙爾戈拉宮廷
548,沙爾戈拉人民
219,阿比邦-戈拉
549,阿比邦-戈拉宮廷
550,阿比邦-戈拉人民
415,車輪騎士團
220,凱魯
551,凱魯宮廷
552,凱魯人民
221,波塔戈
553,波塔戈宮廷
554,波塔戈人民
222,默克瓦薩
555,默克瓦薩宮廷
556,默克瓦薩人民
223,阿亞索菲亞
557,阿亞索菲亞宮廷
558,阿亞索菲亞人民
224,提戈努斯
559,提戈努斯宮廷
560,提戈努斯人民
225,科贊塞特
561,科贊塞特宮廷
562,科贊塞特人民
226,薩塔卡拉姆
563,薩塔卡拉姆宮廷
564,薩塔卡拉姆人民
227,托坦布
565,托坦布宮廷
566,托坦布人民
416,聖甲蟲騎士團
228,莫諾斯
567,莫諾斯宮廷
568,莫諾斯人民
229,以弗所
569,以弗所宮廷
570,以弗所人民
230,桑塔基
571,桑塔基宮廷
572,桑塔基人民
231,安蒂菲洛斯
573,安蒂菲洛斯宮廷
574,安蒂菲洛斯人民
417,鷹騎士團
232,貝爾加馬
575,貝爾加馬宮廷
576,貝爾加馬人民
233,加沃東
577,加沃東宮廷
578,加沃東人民
234,圖盧恩
579,圖盧恩宮廷
580,圖盧恩人民
235,伊萊森丘陵
581,伊萊森丘陵宮廷
582,伊萊森丘陵人民
236,西比亞德斯
583,西比亞德斯宮廷
584,西比亞德斯人民
301,神諭者
302,侍僧
303,努爾法加
304,斯卡克馬特
305,蠕蟲之王
306,死靈法師
350,塞普丁帝國
351,大騎士
129,刀鋒
352,布里西恩娜夫人
353,地底之王
354,地底之王密探
355,哈斯領主
412,真號角騎士團
358,奧辛紐姆
357,戈特沃格
598,奧辛紐姆宮廷
599,奧辛紐姆人民
359,普萊辛頓領主
418,聖杯騎士團
360,基爾巴領主
361,丘爾莫爾·奎爾
362,奎爾馬戲團
376,巴爾薩姆·格雷曼
378,希爾奇·格林伍德
419,格倫莫利女巫
420,塵埃女巫
421,惡魔岩女巫
422,塔瑪麗琳女巫
423,崖地姊妹
424,沃斯之女
425,斯凱芬頓女巫
426,沼澤女巫
427,山地女巫
428,匕首雨女巫
429,貝爾達瑪
430,凱科斯姊妹
431,潮汐女巫
432,阿爾凱爾女巫
510,商人
511,吟遊詩人
512,娼妓
513,仙靈
514,兒童
515,舞者
502,沃斯加里安
503,沃斯加里安宮廷
504,沃斯加里安人民
505,龍尾
506,龍尾宮廷
507,龍尾人民
508,阿利克爾
509,阿利克爾宮廷
590,阿利克爾人民
591,達克弗隆
592,達克弗隆宮廷
593,達克弗隆人民
199,巴爾費拉島
363,梅朵拉
244,巴爾費拉宮廷
198,巴爾費拉人民
196,格倫姆布拉沼地
195,格倫姆布拉沼地宮廷
194,格倫姆布拉沼地人民
